"id","name","num","fax","favorite"
"689","(사)출판부","880-5220"," ","0"
"502","(재)발전기금","880-5027","872-4149","0"
"681","(재)발전기금","880-5027","872-4149","0"
"719","가방및 화장품부","880-5230"," ","0"
"551","간연구소","740-8112","743-6701","0"
"552","간호과학연구소","740-8839","747-3948","0"
"86","간호학과","740-8806"," ","0"
"553","건설연구정보센터","880-8855"," ","0"
"492","건축(관악)","880-5143"," ","0"
"661","건축(관악)","880-5143"," ","0"
"494","건축(수원)","880-2024"," ","0"
"662","건축(수원)","880-2024"," ","0"
"663","건축(연건)","880-8023"," ","0"
"493","건축(연건)","880-8023"," ","0"
"96","건축학과","880-7051"," ","0"
"534","경영도서관","880-6915","877-7749","0"
"554","경영연구소","880-6910","872-6366","0"
"555","경영정보연구소","880-6954","883-4774","0"
"92","경영학과","880-6906"," ","0"
"556","경제연구소","880-5433","888-4454","0"
"38","경제학과","880-6360"," ","0"
"37","경제학부","880-6360"," ","0"
"80","계산통계학과","880-6565"," ","0"
"79","계산통계학과(전산과학전공)","880-6755"," ","0"
"78","계산통계학과(통계학전공)","880-6565"," ","0"
"24","고고미술사학과","880-6210"," ","0"
"23","고고미술사학과(고고학전공)","880-6210"," ","0"
"22","고고미술사학과(미술사학전공)","880-6210"," ","0"
"91","고급금융과정","880-6850"," ","0"
"557","고차구조형유기산업재료연구센터","880-6082"," ","0"
"169","공법학과","880-7536"," ","0"
"126","공업화학과","880-7068"," ","0"
"160","공예과","880-7502"," ","0"
"558","공학연구소","880-7013","887-9592","0"
"184","과학교육과","880-7758"," ","0"
"185","과학교육과(물리전공)","880-7748"," ","0"
"186","과학교육과(생물전공)","880-7768"," ","0"
"187","과학교육과(지구과학전공)","880-7777"," ","0"
"188","과학교육과(화학전공)","880-7758"," ","0"
"559","과학교육연구소","880-7611"," ","0"
"349","관리과","880-5132","880-8590","0"
"364","관악사","880-5404","877-2892","0"
"144","관악수목원","031-473-0071"," ","0"
"560","광물연구소","880-6526"," ","0"
"338","교무과","880-5023","889-7528","0"
"1","교무행정실","880-6007"," ","0"
"28","교무행정실","880-6306"," ","0"
"85","교무행정실","740-8807"," ","0"
"89","교무행정실","880-6906"," ","0"
"173","교무행정실","740-8857"," ","0"
"157","교무행정실","880-7454"," ","0"
"95","교무행정실","880-7008","880-5819","0"
"42","교무행정실","880-6506","876-4117","0"
"335","교무행정실","880-8505"," ","0"
"328","교무행정실","880-5642","886-7935","0"
"321","교무행정실","880-5603"," ","0"
"300","교무행정실","740-8611"," ","0"
"262","교무행정실","740-8033","763-0962","0"
"244","교무행정실","880-7905"," ","0"
"236","교무행정실","880-7825"," ","0"
"148","교무행정실","880-4505","873-2009","0"
"180","교무행정실","880-7606"," ","0"
"232","교무행정실","880-1208"," ","0"
"223","교무행정실","880-6804"," ","0"
"166","교무행정실","880-7536","889-7485","0"
"366","교수학습개발센터","880-5392","885-4483","0"
"503","교수협의회","880-5195","883-6315","0"
"675","교수협의회","880-5195","883-6315","0"
"504","교수회관","880-5238","884-1223","0"
"676","교수회관","880-5241"," ","0"
"561","교육연구소","880-7615","889-6508","0"
"562","교육종합연구원","880-8834","888-2571","0"
"189","교육학과","880-7630"," ","0"
"190","교육학과(교육공학전공)","880-7631"," ","0"
"191","교육학과(교육상담전공)","880-7631"," ","0"
"192","교육학과(교육학전공)","880-7631"," ","0"
"193","교육학과(교육행정전공)","880-7631"," ","0"
"194","교육학과(평생교육전공)","880-7631"," ","0"
"303","구강내과진단학교실","740-8719"," ","0"
"304","구강미생물학교실","740-8644"," ","0"
"305","구강병리학교실","740-8654"," ","0"
"306","구강생리학교실","740-8659"," ","0"
"307","구강생화학교실","740-8664"," ","0"
"308","구강악안면방사선학교실","740-8749"," ","0"
"309","구강악안면외과학교실","740-8709"," ","0"
"310","구강해부학교실","740-8674"," ","0"
"325","국가정책과정","880-5604"," ","0"
"563","국민보건연구소","740-8882"," ","0"
"195","국민윤리교육과","880-7727"," ","0"
"21","국사학과","880-6176"," ","0"
"247","국악과","880-7981"," ","0"
"196","국어교육과","880-7658"," ","0"
"564","국어교육연구소","880-7666","878-2593","0"
"20","국어국문학과","880-6031"," ","0"
"36","국제경제학과","880-6360"," ","0"
"565","국제문제연구소","880-6311","872-4115","0"
"566","국제백신연구소"," ","877-7656","0"
"337","국제학과","880-8505"," ","0"
"567","국토문제연구소","880-6322","877-7656","0"
"363","규장각","880-5318","883-7015","0"
"677","금룡식당","880-1631"," ","0"
"125","금속공학과","880-7085"," ","0"
"495","급수,냉.난방,위생(관악)","880-5153"," ","0"
"496","급수,냉.난방,위생(관악-야간)","880-5264"," ","0"
"498","급수,냉.난방,위생(수원)","880-2021"," ","0"
"497","급수,냉.난방,위생(연건)","880-8022"," ","0"
"664","급수,냉·난방,위생(관악)","880-5153"," ","0"
"665","급수,냉·난방,위생(관악-야간)","880-5264"," ","0"
"666","급수,냉·난방,위생(수원)","880-2021"," ","0"
"667","급수,냉·난방,위생(연건)","880-8022"," ","0"
"124","기계항공공학부","880-8302"," ","0"
"707","기념품부","880-5533"," ","0"
"372","기록관","880-8819","884-7149","0"
"266","기생충학교실","740-8348"," ","0"
"350","기술과","880-5141","889-7617","0"
"248","기악과","880-7960"," ","0"
"250","기악과(관악전공)","880-7961"," ","0"
"251","기악과(피아노전공)","880-7960"," ","0"
"252","기악과(현악전공)","880-7961"," ","0"
"568","기초과학공동기기원","880-5431"," ","0"
"368","기초과학교육연구공동기기원","880-5431","884-6661","0"
"569","기초과학연구원","880-5492","888-4185","0"
"538","기초교육원","880-5683","880-5673","0"
"344","기획담당관","880-5086","889-7489","0"
"570","기후환경시스템연구센터","880-6729"," ","0"
"143","남부연습림","061-762-2801"," ","0"
"267","내과학교실","760-2228"," ","0"
"571","노사관계연구소","880-6913","872-2206","0"
"19","노어노문학과","880-6150"," ","0"
"147","농경제사회학부","880-47440"," ","0"
"146","농생명공학부","880-4901"," ","0"
"547","농업과학공동기기센터","031-290-2803","880-4847","0"
"572","농업생명과학연구원","031-290-2091"," ","0"
